# object_resource_overrides.txt - pivot and collider from Object Editor
# IDName pivotX pivotY hasCollider colliderType offsetX offsetY width height centerX centerY radius
GOID_NORMAL_GRASS 0.5 1 1 0 -48 -196 96 196 0 -98 48
GOID_NORMAL_TREE_SHORT 0.5 1 1 0 -29 -200 60 200 0 -208.5 81
GOID_NORMAL_TREE_NORMAL 0.5 1 1 0 -32 -177 75 177 0 -185.5 125
GOID_NORMAL_TREE_TALL 0.5 1 1 0 -57 -257 142 257 0 -237.5 160
GOID_NORMAL_ROCK 0.5 1 1 0 -92 -146 184 146 0 -103 103
GOID_GOLD_ROCK 0.5 1 1 0 -96 -189 192 189 0 -138 129
GOID_NORMAL_SAPLING 0.5 1 1 0 -71 -200 143 200 0 -100 71.5
GOID_BERRY_TREE 0.5 1 1 0 -101 -216 202 216 0 -108 101
GOID_MONSTER_PIG 0.5 1 1 0 -80 -205 161 205 0 -102.5 80.5
GOID_MONSTER_SPIDER 0.5 1 1 0 -80 -80 160 80 0 -40 40
GOID_MONSTER_WARRIOR_SPIDER 0.5 1 1 0 -88 -92 176 92 0 -46 46
GOID_MONSTER_QUEEN_SPIDER 0.5 1 1 0 -169 -352 328 310 0 -178.5 178.5
GOID_MONSTER_HOUNDDOG 0.5 1 1 0 -112 -197 224 197 0 -98.5 98.5
GOID_MONSTER_REDHOUNDDOG 0.5 1 1 0 -112 -200 224 200 0 -100 100
GOID_MONSTER_ICEHOUNDDOG 0.5 1 1 0 -112 -199 224 199 0 -99.5 99.5
GOID_BUILDING_PIGHOUSE 0.5 1 1 0 -81 -353 160 353 0 -248 144
GOID_BUILDING_SPIDER_SMALLEGG 0.5 1 1 0 -65 -179 116 179 0 -166.5 130.5
GOID_BUILDING_SPIDER_NORMALEGG 0.5 1 1 0 -81 -261 156 261 0 -174 174
GOID_BUILDING_SPIDER_TALLEGG 0.5 1 1 0 -113 -334 213 290 0 -216 216
GOID_ITEM_CUT_NORMAL_GRASS 0.5 1 1 0 -54 -84 108 84 0 -42 42
GOID_ITEM_NORMAL_TREE_LOG 0.5 1 1 0 -50 -53 101 53 0 -26.5 26.5
GOID_ITEM_NORMAL_TWIGS 0.5 1 1 0 -66 -74 133 74 0 -37 37
GOID_ITEM_NORMAL_ROCK 0.5 1 1 0 -47 -56 94 56 0 -28 28
GOID_ITEM_GOLD_ROCK 0.5 1 1 0 -70 -101 140 101 0 -50.5 50.5
GOID_ITEM_ROPE 0.5 1 1 0 -50 -66 101 66 0 -33 33
GOID_ITEM_CUT_NORMAL_STONE 0.5 1 1 0 -67 -92 135 92 0 -46 46
GOID_ITEM_MEAT 0.5 1 1 0 -47 -61 95 61 0 -30.5 30.5
GOID_ITEM_BERRY 0.5 1 1 0 -34 -46 69 46 0 -23 23
GOID_ITEM_SMALL_MEAT 0.5 1 1 0 -40 -57 80 57 0 -28.5 28.5
GOID_ITEM_MONSTER_MEAT 0.5 1 1 0 -47 -63 95 63 0 -31.5 31.5
GOID_ITEM_COOKED_MONSTER_MEAT 0.5 1 1 0 -80 -92 160 92 0 -46 46
GOID_ITEM_COOKED_SMALL_MEAT 0.5 1 1 0 -62 -108 124 108 0 -54 54
GOID_ITEM_COOKED_MEAT 0.5 1 1 0 -82 -92 164 92 0 -46 46
GOID_PLAYER_WILSON 0.5 1 1 0 -27 -143 59 143 0 -95 57.5
